dish_name;type;profile;flavor;price;ingredient
The Hawaiian Pizza;Classic;Balanced;Mild;10;Sliced Ham, Pineapple, Mozzarella Cheese
The Classic Deluxe Pizza;Classic;Balanced;Mild;10;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon
The Five Cheese Pizza;Veggie;Light;Fresh;9;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic
The Italian Supreme Pizza;Supreme;Rich;Bold;12;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic
The Mexicana Pizza;Veggie;Light;Fresh;9;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic
The Thai Chicken Pizza;Chicken;Savory;Mild;11;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce
The Prosciutto and Arugula Pizza;Supreme;Rich;Bold;12;Prosciutto di San Daniele, Arugula, Mozzarella Cheese
The Barbecue Chicken Pizza;Chicken;Savory;Mild;11;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce
The Greek Pizza;Classic;Balanced;Mild;10;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions
The Spinach Supreme Pizza;Supreme;Rich;Bold;12;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese
The Green Garden Pizza;Veggie;Light;Fresh;9;Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese
The Italian Capocollo Pizza;Classic;Balanced;Mild;10;Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano
The Spicy Italian Pizza;Supreme;Rich;Bold;12;Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic
The Spinach Pesto Pizza;Veggie;Light;Fresh;9;Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce
The Vegetables + Vegetables Pizza;Veggie;Light;Fresh;9;Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic
The Southwest Chicken Pizza;Chicken;Savory;Mild;11;Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce
The California Chicken Pizza;Chicken;Savory;Mild;11;Chicken, Artichokes, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese
The Pepperoni Pizza;Classic;Balanced;Mild;10;Mozzarella Cheese, Pepperoni
The Chicken Pesto Pizza;Chicken;Savory;Mild;11;Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce
The Big Meat Pizza;Classic;Balanced;Mild;10;Bacon, Pepperoni, Italian Sausage, Chorizo Sausage
The Soppressata Pizza;Supreme;Rich;Bold;12;Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic
The Four Cheese Pizza;Veggie;Light;Fresh;9;Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic
The Napolitana Pizza;Classic;Balanced;Mild;10;Tomatoes, Anchovies, Green Olives, Red Onions, Garlic
The Calabrese Pizza;Supreme;Rich;Bold;12;Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic
The Italian Vegetables Pizza;Veggie;Light;Fresh;9;Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce
The Mediterranean Pizza;Veggie;Light;Fresh;9;Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions
The Pepper Salami Pizza;Supreme;Rich;Bold;12;Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic
The Spinach and Feta Pizza;Veggie;Light;Fresh;9;Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic
The Sicilian Pizza;Supreme;Rich;Bold;12;Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic
The Chicken Alfredo Pizza;Chicken;Savory;Mild;11;Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce
The Pepperoni, Mushroom, and Peppers Pizza;Classic;Balanced;Mild;10;Pepperoni, Mushrooms, Green Peppers
The Brie Carre Pizza;Supreme;Rich;Bold;12;Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic
